confidence_1	humanaccuracy_1	humanaccuracy_comparison_1	confidence_2	humanaccuracy_2	humanaccuracy_comparison_2	trust_2	use_likelihood_2	use_binary_2	confidence_3	humanaccuracy_3	humanaccuracy_comparison_3	trust_3	use_likelihood_3	use_binary_3	id
Moderately confident	7/14	approximately equal to the median accuracy (41-60%)	Moderately confident	6/13	approximately equal to the median accuracy (41-60%)	Yes	11/13	11/13	Moderately confident	18/25	approximately equal to the median accuracy (41-60%)	Yes	14/25	14/25	11
Somewhat confident	10/14	approximately equal to the median accuracy (41-60%)	Not confident at all	7/14	approximately equal to the median accuracy (41-60%)	Yes	5/14	3/14	Slightly confident	12/25	approximately equal to the median accuracy (41-60%)	Yes	13/25	9/25	12
Somewhat confident	7/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	7/14	approximately equal to the median accuracy (41-60%)	No	6/14	4/14	Somewhat confident	12/25	approximately equal to the median accuracy (41-60%)	No	7/25	4/25	13
Moderately confident	10/14	higher than most accuracies (61-80%)	Moderately confident	10/13	higher than most accuracies (61-80%)	Yes	8/13	8/13	Moderately confident	18/25	higher than most accuracies (61-80%)	Yes	18/25	14/25	14
Moderately confident	12/14	higher than most accuracies (61-80%)	Slightly confident	5/13	lower than most accuracies (21-40%)	Yes	3/13	2/13	Slightly confident	8/25	approximately equal to the median accuracy (41-60%)	Yes	4/25	3/25	15
Slightly confident	7/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	9/13	approximately equal to the median accuracy (41-60%)	No	2/13	0/13	Somewhat confident	15/25	approximately equal to the median accuracy (41-60%)	No	0/25	0/25	16
Somewhat confident	5/14	higher than most accuracies (61-80%)	Slightly confident	8/13	higher than most accuracies (61-80%)	Yes	9/13	8/13	Slightly confident	9/25	approximately equal to the median accuracy (41-60%)	Yes	10/25	12/25	17
Somewhat confident	10/14	among the highest accuracies (80-100%)	Somewhat confident	11/13	approximately equal to the median accuracy (41-60%)	Yes	9/13	7/13	Somewhat confident	21/25	approximately equal to the median accuracy (41-60%)	Yes	19/25	18/25	18
Slightly confident	5/14	lower than most accuracies (21-40%)	Somewhat confident	8/14	approximately equal to the median accuracy (41-60%)	Yes	4/14	2/14	Not confident at all	12/25	approximately equal to the median accuracy (41-60%)	No	8/25	5/25	19
Somewhat confident	7/14	lower than most accuracies (21-40%)	Moderately confident	8/13	higher than most accuracies (61-80%)	No	8/13	8/13	Moderately confident	22/25	among the highest accuracies (80-100%)	Yes	22/25	22/25	20
Somewhat confident	6/14	among the highest accuracies (80-100%)	Somewhat confident	7/13	among the highest accuracies (80-100%)	Yes	7/13	7/13	Somewhat confident	9/25	among the highest accuracies (80-100%)	No	10/25	10/25	21
Moderately confident	12/15	approximately equal to the median accuracy (41-60%)	Moderately confident	10/15	approximately equal to the median accuracy (41-60%)	Yes	6/15	3/15	Moderately confident	18/25	approximately equal to the median accuracy (41-60%)	Yes	10/25	6/25	22
Somewhat confident	11/14	higher than most accuracies (61-80%)	Somewhat confident	8/13	higher than most accuracies (61-80%)	Yes	0/13	0/13	Moderately confident	15/25	higher than most accuracies (61-80%)	Yes	0/25	0/25	23
Moderately confident	10/14	approximately equal to the median accuracy (41-60%)	Moderately confident	10/14	approximately equal to the median accuracy (41-60%)	Yes	4/14	2/14	Moderately confident	20/25	approximately equal to the median accuracy (41-60%)	Yes	3/25	3/25	24
Somewhat confident	7/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	8/13	approximately equal to the median accuracy (41-60%)	No	2/13	0/13	Somewhat confident	16/25	approximately equal to the median accuracy (41-60%)	No	2/25	0/25	25
Moderately confident	9/14	approximately equal to the median accuracy (41-60%)	Moderately confident	7/13	approximately equal to the median accuracy (41-60%)	Yes	8/13	9/13	Moderately confident	23/25	among the highest accuracies (80-100%)	Yes	21/25	23/25	26
Somewhat confident	10/14	approximately equal to the median accuracy (41-60%)	Moderately confident	10/14	approximately equal to the median accuracy (41-60%)	No	3/14	0/14	Somewhat confident	16/25	approximately equal to the median accuracy (41-60%)	No	3/25	0/25	27
Slightly confident	5/14	lower than most accuracies (21-40%)	Slightly confident	4/14	lower than most accuracies (21-40%)	No	1/14	1/14	Not confident at all	4/25	among the lowest accuracies (0-20%)	No	0/25	0/25	28
Moderately confident	4/14	approximately equal to the median accuracy (41-60%)	Moderately confident	7/14	approximately equal to the median accuracy (41-60%)	Yes	4/14	3/14	Moderately confident	9/25	approximately equal to the median accuracy (41-60%)	Yes	3/25	4/25	29
Moderately confident	10/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	8/14	approximately equal to the median accuracy (41-60%)	Yes	12/14	2/14	Somewhat confident	16/25	approximately equal to the median accuracy (41-60%)	Yes	16/25	2/25	30
Somewhat confident	10/14	higher than most accuracies (61-80%)	Somewhat confident	7/14	approximately equal to the median accuracy (41-60%)	No	7/14	1/14	Somewhat confident	14/25	approximately equal to the median accuracy (41-60%)	No	5/25	2/25	31
Somewhat confident	10/14	approximately equal to the median accuracy (41-60%)	Slightly confident	9/13	approximately equal to the median accuracy (41-60%)	Yes	2/13	2/13	Slightly confident	18/25	approximately equal to the median accuracy (41-60%)	Yes	3/25	3/25	32
Slightly confident	8/14	approximately equal to the median accuracy (41-60%)	Moderately confident	9/13	higher than most accuracies (61-80%)	Yes	2/13	3/13	Moderately confident	22/25	approximately equal to the median accuracy (41-60%)	Yes	21/25	3/25	33
Somewhat confident	5/14	lower than most accuracies (21-40%)	Somewhat confident	8/14	approximately equal to the median accuracy (41-60%)	Yes	5/14	6/14	Somewhat confident	13/25	approximately equal to the median accuracy (41-60%)	Yes	11/25	8/25	34
Moderately confident	8/14	lower than most accuracies (21-40%)	Moderately confident	10/13	higher than most accuracies (61-80%)	Yes	10/13	11/13	Moderately confident	24/25	among the highest accuracies (80-100%)	Yes	24/25	24/25	35
Moderately confident	9/14	higher than most accuracies (61-80%)	Moderately confident	9/14	higher than most accuracies (61-80%)	Yes	4/14	2/14	Moderately confident	20/25	higher than most accuracies (61-80%)	Yes	2/25	2/25	36
Slightly confident	7/14	approximately equal to the median accuracy (41-60%)	Slightly confident	7/13	approximately equal to the median accuracy (41-60%)	Yes	10/13	0/13	Slightly confident	12/25	approximately equal to the median accuracy (41-60%)	Yes	22/25	0/25	37
Moderately confident	10/14	higher than most accuracies (61-80%)	Moderately confident	10/13	higher than most accuracies (61-80%)	Yes	0/13	0/13	Moderately confident	14/25	higher than most accuracies (61-80%)	No	0/25	0/25	38
Somewhat confident	7/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	7/13	higher than most accuracies (61-80%)	Yes	7/13	9/13	Somewhat confident	11/25	approximately equal to the median accuracy (41-60%)	Yes	12/25	12/25	39
Extremely confident	6/14	approximately equal to the median accuracy (41-60%)	Moderately confident	8/13	approximately equal to the median accuracy (41-60%)	Yes	7/13	8/13	Extremely confident	12/25	higher than most accuracies (61-80%)	No	6/25	5/25	40
Slightly confident	6/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	9/14	higher than most accuracies (61-80%)	No	11/14	9/14	Slightly confident	13/25	lower than most accuracies (21-40%)	No	12/25	18/25	41
Moderately confident	10/15	lower than most accuracies (21-40%)	Extremely confident	13/15	among the highest accuracies (80-100%)	No	12/15	12/15	Extremely confident	20/25	higher than most accuracies (61-80%)	No	20/25	18/25	42
Moderately confident	10/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	9/14	approximately equal to the median accuracy (41-60%)	Yes	12/14	0/14	Somewhat confident	17/25	approximately equal to the median accuracy (41-60%)	Yes	21/25	1/25	43
Slightly confident	5/14	lower than most accuracies (21-40%)	Not confident at all	4/14	lower than most accuracies (21-40%)	Yes	10/14	5/14	Slightly confident	9/25	lower than most accuracies (21-40%)	Yes	15/25	9/25	44
Moderately confident	9/14	higher than most accuracies (61-80%)	Somewhat confident	8/13	higher than most accuracies (61-80%)	No	2/13	0/13	Moderately confident	17/25	higher than most accuracies (61-80%)	Yes	5/25	0/25	45
Somewhat confident	9/15	approximately equal to the median accuracy (41-60%)	Somewhat confident	10/15	approximately equal to the median accuracy (41-60%)	Yes	6/15	1/15	Somewhat confident	15/25	approximately equal to the median accuracy (41-60%)	Yes	1/25	8/25	46
Slightly confident	5/14	lower than most accuracies (21-40%)	Somewhat confident	6/14	approximately equal to the median accuracy (41-60%)	Yes	12/14	4/14	Somewhat confident	14/25	approximately equal to the median accuracy (41-60%)	Yes	15/25	5/25	47
Moderately confident	9/14	approximately equal to the median accuracy (41-60%)	Moderately confident	13/25	higher than most accuracies (61-80%)	Yes	10/13	10/13	Moderately confident	20/25	higher than most accuracies (61-80%)	Yes	22/25	18/25	48
Slightly confident	9/14	approximately equal to the median accuracy (41-60%)	Slightly confident	9/14	approximately equal to the median accuracy (41-60%)	Yes	6/14	5/14	Slightly confident	16/25	approximately equal to the median accuracy (41-60%)	Yes	8/25	7/25	49
Somewhat confident	6/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	9/13	higher than most accuracies (61-80%)	Yes	8/13	1/13	Moderately confident	20/25	approximately equal to the median accuracy (41-60%)	Yes	0/25	0/25	50
Somewhat confident	9/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	7/14	approximately equal to the median accuracy (41-60%)	No	0/14	0/14	Somewhat confident	13/25	approximately equal to the median accuracy (41-60%)	Yes	2/25	0/25	51
Somewhat confident	8/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	9/13	approximately equal to the median accuracy (41-60%)	No	7/13	1/13	Somewhat confident	18/25	approximately equal to the median accuracy (41-60%)	No	4/25	0/25	52
Somewhat confident	9/14	approximately equal to the median accuracy (41-60%)	Moderately confident	9/13	approximately equal to the median accuracy (41-60%)	Yes	2/13	2/13	Moderately confident	21/25	approximately equal to the median accuracy (41-60%)	Yes	0/25	0/25	53
Moderately confident	9/14	approximately equal to the median accuracy (41-60%)	Moderately confident	8/13	approximately equal to the median accuracy (41-60%)	No	13/13	1/13	Moderately confident	16/25	approximately equal to the median accuracy (41-60%)	No	23/25	0/25	54
Extremely confident	14/14	among the highest accuracies (80-100%)	Extremely confident	13/13	among the highest accuracies (80-100%)	No	13/13	13/13	Extremely confident	25/25	among the highest accuracies (80-100%)	No	25/25	25/25	55
Moderately confident	11/14	higher than most accuracies (61-80%)	Extremely confident	13/13	among the highest accuracies (80-100%)	Yes	4/13	4/13	Extremely confident	25/25	among the highest accuracies (80-100%)	Yes	4/25	4/25	56
Somewhat confident	7/14	higher than most accuracies (61-80%)	Moderately confident	9/14	higher than most accuracies (61-80%)	Yes	0/14	0/14	Moderately confident	14/25	higher than most accuracies (61-80%)	Yes	0/25	0/25	57
Extremely confident	14/14	among the highest accuracies (80-100%)	Moderately confident	11/13	lower than most accuracies (21-40%)	Yes	9/13	9/13	Extremely confident	22/25	among the highest accuracies (80-100%)	Yes	21/25	22/25	58
Moderately confident	10/14	approximately equal to the median accuracy (41-60%)	Moderately confident	10/13	approximately equal to the median accuracy (41-60%)	Yes	7/13	7/13	Moderately confident	20/25	approximately equal to the median accuracy (41-60%)	Yes	19/25	19/25	59
Moderately confident	9/15	higher than most accuracies (61-80%)	Extremely confident	13/15	among the highest accuracies (80-100%)	Yes	13/15	13/15	Extremely confident	25/25	among the highest accuracies (80-100%)	Yes	24/25	24/25	60
Moderately confident	10/14	higher than most accuracies (61-80%)	Moderately confident	10/13	higher than most accuracies (61-80%)	No	0/13	0/13	Somewhat confident	20/25	higher than most accuracies (61-80%)	Yes	1/25	0/25	61
Moderately confident	9/14	lower than most accuracies (21-40%)	Extremely confident	17/25	higher than most accuracies (61-80%)	Yes	2/13	0/13	Extremely confident	19/25	higher than most accuracies (61-80%)	Yes	2/25	2/25	62
Moderately confident	8/14	lower than most accuracies (21-40%)	Moderately confident	11/14	lower than most accuracies (21-40%)	Yes	8/14	10/14	Extremely confident	24/25	approximately equal to the median accuracy (41-60%)	Yes	16/25	19/25	63
Moderately confident	5/14	higher than most accuracies (61-80%)	Somewhat confident	9/13	approximately equal to the median accuracy (41-60%)	Yes	5/13	8/13	Slightly confident	13/25	lower than most accuracies (21-40%)	No	3/25	10/25	64
Extremely confident	6/14	approximately equal to the median accuracy (41-60%)	Extremely confident	9/13	higher than most accuracies (61-80%)	Yes	10/13	9/13	Extremely confident	21/25	among the highest accuracies (80-100%)	Yes	22/25	21/25	65
Moderately confident	3/14	approximately equal to the median accuracy (41-60%)	Moderately confident	6/14	lower than most accuracies (21-40%)	Yes	5/14	5/14	Moderately confident	4/25	lower than most accuracies (21-40%)	Yes	13/25	12/25	66
Moderately confident	6/14	lower than most accuracies (21-40%)	Somewhat confident	7/14	approximately equal to the median accuracy (41-60%)	Yes	2/14	2/14	Somewhat confident	6/25	approximately equal to the median accuracy (41-60%)	Yes	1/25	1/25	67
Extremely confident	11/14	higher than most accuracies (61-80%)	Extremely confident	11/13	higher than most accuracies (61-80%)	Yes	10/13	12/13	Extremely confident	23/25	among the highest accuracies (80-100%)	Yes	14/25	23/25	68
Somewhat confident	5/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	7/14	approximately equal to the median accuracy (41-60%)	No	2/14	4/14	Somewhat confident	10/25	approximately equal to the median accuracy (41-60%)	No	7/25	4/25	69
Somewhat confident	9/14	higher than most accuracies (61-80%)	Somewhat confident	9/14	higher than most accuracies (61-80%)	Yes	8/14	1/14	Somewhat confident	16/25	higher than most accuracies (61-80%)	Yes	18/25	2/25	70
Extremely confident	8/14	approximately equal to the median accuracy (41-60%)	Moderately confident	10/13	approximately equal to the median accuracy (41-60%)	Yes	10/13	10/13	Moderately confident	13/25	approximately equal to the median accuracy (41-60%)	Yes	13/25	14/25	71
Extremely confident	12/14	higher than most accuracies (61-80%)	Moderately confident	12/13	higher than most accuracies (61-80%)	Yes	12/13	11/13	Moderately confident	23/25	higher than most accuracies (61-80%)	Yes	23/25	22/25	72
Moderately confident	14/14	among the highest accuracies (80-100%)	Moderately confident	25/25	among the highest accuracies (80-100%)	Yes	13/13	13/13	Moderately confident	25/25	among the highest accuracies (80-100%)	Yes	25/25	25/25	73
Somewhat confident	9/14	higher than most accuracies (61-80%)	Slightly confident	11/13	approximately equal to the median accuracy (41-60%)	Yes	4/13	2/13	Slightly confident	18/25	approximately equal to the median accuracy (41-60%)	Yes	5/25	4/25	74
Somewhat confident	9/14	approximately equal to the median accuracy (41-60%)	Slightly confident	7/14	approximately equal to the median accuracy (41-60%)	Yes	1/14	0/14	Somewhat confident	14/25	approximately equal to the median accuracy (41-60%)	Yes	4/25	2/25	75
Slightly confident	5/14	lower than most accuracies (21-40%)	Slightly confident	7/13	approximately equal to the median accuracy (41-60%)	No	0/13	0/13	Somewhat confident	11/25	approximately equal to the median accuracy (41-60%)	No	3/25	1/25	76
Moderately confident	8/14	approximately equal to the median accuracy (41-60%)	Moderately confident	9/14	approximately equal to the median accuracy (41-60%)	Yes	5/14	5/14	Moderately confident	17/25	approximately equal to the median accuracy (41-60%)	Yes	6/25	6/25	77
Slightly confident	8/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	9/13	approximately equal to the median accuracy (41-60%)	Yes	13/13	1/13	Somewhat confident	13/25	approximately equal to the median accuracy (41-60%)	Yes	23/25	0/25	78
Somewhat confident	8/14	higher than most accuracies (61-80%)	Somewhat confident	11/14	higher than most accuracies (61-80%)	Yes	7/14	4/14	Moderately confident	20/25	higher than most accuracies (61-80%)	Yes	6/25	4/25	79
Somewhat confident	10/14	higher than most accuracies (61-80%)	Moderately confident	10/13	higher than most accuracies (61-80%)	Yes	10/13	10/13	Moderately confident	21/25	approximately equal to the median accuracy (41-60%)	Yes	20/25	20/25	80
Somewhat confident	5/14	approximately equal to the median accuracy (41-60%)	Moderately confident	8/14	higher than most accuracies (61-80%)	Yes	4/14	5/14	Moderately confident	15/25	higher than most accuracies (61-80%)	No	5/25	6/25	81
Moderately confident	11/14	higher than most accuracies (61-80%)	Moderately confident	11/14	higher than most accuracies (61-80%)	Yes	3/14	3/14	Moderately confident	20/25	higher than most accuracies (61-80%)	Yes	2/25	4/25	82
Moderately confident	11/14	higher than most accuracies (61-80%)	Moderately confident	12/13	higher than most accuracies (61-80%)	Yes	11/13	12/13	Moderately confident	22/25	higher than most accuracies (61-80%)	Yes	23/25	21/25	83
Moderately confident	7/14	lower than most accuracies (21-40%)	Moderately confident	7/13	approximately equal to the median accuracy (41-60%)	Yes	7/13	7/13	Somewhat confident	15/25	approximately equal to the median accuracy (41-60%)	Yes	13/25	13/25	84
Moderately confident	6/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	5/13	approximately equal to the median accuracy (41-60%)	No	7/13	8/13	Moderately confident	21/25	approximately equal to the median accuracy (41-60%)	No	23/25	22/25	85
Moderately confident	8/14	approximately equal to the median accuracy (41-60%)	Moderately confident	9/14	approximately equal to the median accuracy (41-60%)	Yes	3/14	3/14	Moderately confident	15/25	approximately equal to the median accuracy (41-60%)	Yes	3/25	1/25	86
Moderately confident	10/14	approximately equal to the median accuracy (41-60%)	Moderately confident	8/13	approximately equal to the median accuracy (41-60%)	Yes	8/13	7/13	Moderately confident	22/25	approximately equal to the median accuracy (41-60%)	Yes	23/25	22/25	87
Not confident at all	4/14	lower than most accuracies (21-40%)	Somewhat confident	5/13	approximately equal to the median accuracy (41-60%)	Yes	7/13	3/13	Somewhat confident	8/25	approximately equal to the median accuracy (41-60%)	Yes	10/25	3/25	88
Slightly confident	7/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	9/14	approximately equal to the median accuracy (41-60%)	No	1/14	1/14	Somewhat confident	16/25	approximately equal to the median accuracy (41-60%)	No	0/25	0/25	89
Slightly confident	5/14	lower than most accuracies (21-40%)	Slightly confident	6/14	lower than most accuracies (21-40%)	No	3/14	3/14	Slightly confident	6/25	lower than most accuracies (21-40%)	No	4/25	4/25	90
Extremely confident	14/14	higher than most accuracies (61-80%)	Extremely confident	25/25	higher than most accuracies (61-80%)	Yes	1/13	0/13	Extremely confident	25/25	higher than most accuracies (61-80%)	Yes	1/25	0/25	91
Slightly confident	6/14	lower than most accuracies (21-40%)	Slightly confident	6/13	lower than most accuracies (21-40%)	Yes	9/13	4/13	Somewhat confident	17/25	approximately equal to the median accuracy (41-60%)	Yes	18/25	10/25	92
Moderately confident	7/14	lower than most accuracies (21-40%)	Extremely confident	7/13	approximately equal to the median accuracy (41-60%)	Yes	5/13	0/13	Moderately confident	19/25	approximately equal to the median accuracy (41-60%)	Yes	11/25	0/25	93
Somewhat confident	11/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	8/14	approximately equal to the median accuracy (41-60%)	No	2/14	1/14	Somewhat confident	16/25	approximately equal to the median accuracy (41-60%)	No	5/25	0/25	94
Extremely confident	8/14	approximately equal to the median accuracy (41-60%)	Moderately confident	10/13	approximately equal to the median accuracy (41-60%)	No	13/13	10/13	Extremely confident	13/25	approximately equal to the median accuracy (41-60%)	Yes	12/25	13/25	95
Moderately confident	12/14	higher than most accuracies (61-80%)	Moderately confident	10/13	higher than most accuracies (61-80%)	Yes	8/13	1/13	Moderately confident	22/25	higher than most accuracies (61-80%)	Yes	18/25	2/25	96
Somewhat confident	10/14	higher than most accuracies (61-80%)	Somewhat confident	9/14	higher than most accuracies (61-80%)	Yes	1/14	1/14	Somewhat confident	18/25	higher than most accuracies (61-80%)	Yes	0/25	0/25	97
Slightly confident	7/14	approximately equal to the median accuracy (41-60%)	Slightly confident	9/13	approximately equal to the median accuracy (41-60%)	Yes	9/13	8/13	Slightly confident	13/25	approximately equal to the median accuracy (41-60%)	Yes	16/25	15/25	98
Slightly confident	7/14	lower than most accuracies (21-40%)	Somewhat confident	9/13	approximately equal to the median accuracy (41-60%)	Yes	2/13	7/13	Slightly confident	14/25	approximately equal to the median accuracy (41-60%)	Yes	12/25	12/25	99
Extremely confident	10/14	higher than most accuracies (61-80%)	Extremely confident	10/13	higher than most accuracies (61-80%)	Yes	10/13	10/13	Moderately confident	21/25	higher than most accuracies (61-80%)	Yes	21/25	20/25	100
Moderately confident	11/14	approximately equal to the median accuracy (41-60%)	Moderately confident	11/14	approximately equal to the median accuracy (41-60%)	Yes	3/14	0/14	Moderately confident	22/25	higher than most accuracies (61-80%)	Yes	11/25	1/25	101
Somewhat confident	7/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	7/13	approximately equal to the median accuracy (41-60%)	Yes	2/13	2/13	Somewhat confident	15/25	approximately equal to the median accuracy (41-60%)	Yes	5/25	3/25	102
Moderately confident	10/14	higher than most accuracies (61-80%)	Moderately confident	8/13	approximately equal to the median accuracy (41-60%)	Yes	0/13	0/13	Moderately confident	17/25	approximately equal to the median accuracy (41-60%)	Yes	0/25	0/25	103
Moderately confident	11/14	higher than most accuracies (61-80%)	Extremely confident	12/14	higher than most accuracies (61-80%)	Yes	13/14	3/14	Extremely confident	21/25	higher than most accuracies (61-80%)	Yes	21/25	4/25	104
Extremely confident	10/14	among the highest accuracies (80-100%)	Extremely confident	11/14	among the highest accuracies (80-100%)	Yes	12/14	13/14	Moderately confident	22/25	among the highest accuracies (80-100%)	Yes	24/25	24/25	105
Somewhat confident	11/14	approximately equal to the median accuracy (41-60%)	Slightly confident	8/14	approximately equal to the median accuracy (41-60%)	No	0/14	0/14	Slightly confident	15/25	lower than most accuracies (21-40%)	No	0/25	0/25	106
Somewhat confident	6/14	higher than most accuracies (61-80%)	Moderately confident	9/13	higher than most accuracies (61-80%)	Yes	10/13	6/13	Moderately confident	19/25	higher than most accuracies (61-80%)	Yes	12/25	18/25	107
Somewhat confident	7/14	approximately equal to the median accuracy (41-60%)	Slightly confident	8/14	approximately equal to the median accuracy (41-60%)	Yes	0/14	0/14	Somewhat confident	17/25	approximately equal to the median accuracy (41-60%)	Yes	0/25	0/25	108
Slightly confident	8/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	8/14	approximately equal to the median accuracy (41-60%)	Yes	5/14	2/14	Somewhat confident	17/25	approximately equal to the median accuracy (41-60%)	Yes	6/25	2/25	109
Not confident at all	4/14	among the lowest accuracies (0-20%)	Not confident at all	6/25	lower than most accuracies (21-40%)	Yes	7/13	9/13	Slightly confident	10/25	lower than most accuracies (21-40%)	Yes	12/25	12/25	110
Moderately confident	11/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	9/13	approximately equal to the median accuracy (41-60%)	Yes	10/13	2/13	Somewhat confident	18/25	approximately equal to the median accuracy (41-60%)	Yes	21/25	3/25	111
Moderately confident	10/14	lower than most accuracies (21-40%)	Extremely confident	22/25	higher than most accuracies (61-80%)	Yes	12/13	11/13	Extremely confident	24/25	among the highest accuracies (80-100%)	Yes	24/25	24/25	112
Extremely confident	7/14	approximately equal to the median accuracy (41-60%)	Moderately confident	9/13	approximately equal to the median accuracy (41-60%)	Yes	8/13	8/13	Moderately confident	16/25	higher than most accuracies (61-80%)	Yes	19/25	17/25	113
Somewhat confident	9/14	approximately equal to the median accuracy (41-60%)	Moderately confident	7/13	lower than most accuracies (21-40%)	Yes	8/13	6/13	Somewhat confident	15/25	higher than most accuracies (61-80%)	Yes	19/25	21/25	114
Moderately confident	7/14	lower than most accuracies (21-40%)	Extremely confident	8/14	approximately equal to the median accuracy (41-60%)	Yes	9/14	7/14	Moderately confident	12/25	among the highest accuracies (80-100%)	Yes	12/25	9/25	115
Moderately confident	6/14	lower than most accuracies (21-40%)	Somewhat confident	7/14	lower than most accuracies (21-40%)	Yes	6/14	6/14	Slightly confident	10/25	approximately equal to the median accuracy (41-60%)	Yes	0/25	0/25	116
Slightly confident	9/15	lower than most accuracies (21-40%)	Somewhat confident	9/15	approximately equal to the median accuracy (41-60%)	No	3/15	3/15	Moderately confident	16/25	approximately equal to the median accuracy (41-60%)	No	6/25	6/25	117
Moderately confident	13/14	higher than most accuracies (61-80%)	Moderately confident	12/13	higher than most accuracies (61-80%)	Yes	12/13	12/13	Moderately confident	24/25	higher than most accuracies (61-80%)	Yes	24/25	24/25	118
Slightly confident	7/14	approximately equal to the median accuracy (41-60%)	Somewhat confident	9/14	approximately equal to the median accuracy (41-60%)	Yes	12/14	0/14	Somewhat confident	12/25	approximately equal to the median accuracy (41-60%)	No	0/25	0/25	119
Moderately confident	9/14	approximately equal to the median accuracy (41-60%)	Moderately confident	10/13	approximately equal to the median accuracy (41-60%)	Yes	10/13	9/13	Moderately confident	20/25	approximately equal to the median accuracy (41-60%)	Yes	20/25	21/25	120
Moderately confident	9/14	approximately equal to the median accuracy (41-60%)	Moderately confident	9/13	approximately equal to the median accuracy (41-60%)	Yes	2/13	0/13	Moderately confident	18/25	approximately equal to the median accuracy (41-60%)	Yes	0/25	0/25	121
Slightly confident	13/14	approximately equal to the median accuracy (41-60%)	Moderately confident	12/13	approximately equal to the median accuracy (41-60%)	Yes	12/13	12/13	Moderately confident	24/25	approximately equal to the median accuracy (41-60%)	Yes	23/25	24/25	122
Somewhat confident	5/14	lower than most accuracies (21-40%)	Somewhat confident	5/14	lower than most accuracies (21-40%)	No	0/14	0/14	Somewhat confident	13/25	lower than most accuracies (21-40%)	No	0/25	0/25	123
